song_name,artist
River,Eminem ft. Ed Sheeran
Perfect,Ed Sheeran
Once in a lifetime,Omer Adam
After all years,Omer Adam
Aba,Shlomi Shabat
Namaste,Static and Ben-El Tavori 
Gold,Static and Ben-El Tavori 
Shape of you,Ed Sheeran
Paradise,Coldplay
Something Just Like This,Coldplay
Fix You,Coldplay
Viva la Vida,Coldplay
I've always Dreamed,Eliad Nahum
Symphony,Zara Larsson
That's What I Like,Bruno Mars
Let Her Go,Passenger
Bonfire Heart,James Blunt
Two crazies,Omer Adam
Despacito,Luis Fonsi ft. Daddy Yankee
